uni_code,course_code,course_name,course_intro,area_of_study,career_ops,course_field,meta_gCode,meta_name,meta_status,meta_poa,meta_type,meta_inst,meta_camp,meta_fos,meta_keywords,meta_sa,meta_sm,meta_lsr,meta_msr,meta_hsr,meta_la,meta_ma,meta_ha,meta_ga,meta_acYear,meta_rpCode,meta_rpLink,meta_cLevel,meta_fee,meta_fPeriod,meta_pTime,meta_fTime,meta_int,meta_ext,meta_mMode,meta_nHe,meta_pHe,meta_nVet,meta_pVet,meta_nOth,meta_pOth,meta_nAtar,meta_pAtar,meta_nAPlus,meta_pAPlus,meta_nSec,meta_pSec,meta_nInt,meta_pInt,meta_nTot,meta_pTot,meta_pCode,meta_cYear,meta_ip,meta_spLink
acap,540200,Bachelor of Psychological Science,"This course provides the first step in preparing students for a career or further study in psychology. Students are involved in research activities and projects, data analysis and laboratory experiments in order to develop an understanding of psychology principles and their applications to real-world problems and contexts. Students also take electives from ACAP's non-psychology subjects, such as counselling and criminology. These electives help them put the theory they learn during the course into a practical context and diversify their skillset. Students must complete 24 units of study consisting of 13 core psychology units, 6 non-psychology electives, and 5 additional electives, which may be either psychology or non-psychology electives. On completion, they will have the basic requirements needed for further study that is required in the pathway to registration as a psychologist or for working in a range of areas.","Psychology and a range of elective areas. By choosing prescribed electives, students can complete a major stream in criminology or in social welfare.","Community, government, non-government and corporate settings focused on mental health, welfare, counselling, health, criminal justice, employment, ageing, disability, immigration and youth services, human resources, training and recruitment, social and market research.",Natural and Physical Sciences,540200,Bachelor of Psychological Science,open,3F/EqP,DFEE,ACAP,4336-AP,1,"acap,bachelor of psychological science,psychology,psychological science,criminology,social welfare",0,0,,,,,,,,2022,NO,NA,TBP,NA, ,Y,Y,Y,N,N,<5,<5,<5,<5,35,45.45,0,0,0,0,22,28.57,14,18.18,77,100.0,NA,2022,S,
acap,540210,Bachelor of Psychological Science and Criminology,This double major program comprises units from the ACAP disciplines of Psychological Sciences and Criminology. The course increases graduates’ employment and further study opportunities in careers and postgraduate studies related to both psychology and criminology.,"Criminology, psychology.","Criminal justice, youth justice, policing, mental health, disability, employment, government, health, community, welfare, immigration, youth services, human resources, recruitment, market research and training.",Natural and Physical Sciences,540210,Bachelor of Psychological Science and Criminology,open,3F/EqP,DFEE,ACAP,4336-AO,1,"acap,bachelor of psychological science and criminology,psychology,psychological science,criminology,online",0,0,,,,,,,,2022,NO,NA,TBP,NA, ,Y,Y,Y,Y,N,N/P,N/P,<5,<5,101,69.66,0,0,0,0,23,15.86,0,0,145,100.0,NA,2022,S,
acap,540220,Bachelor of Psychological Science and Counselling,"Psychology and counselling complement and overlap each other in theoretical and practical knowledge. This double major combines the strengths of each discipline, providing benefits to graduates in knowledge and career outcomes as they will have further study and/or employment options related to both psychology and counselling.","This course offers an Australian Psychology Accreditation Council-accredited three-year sequence featuring a major in psychology and a major in counselling. This double major combines the strengths of each discipline, providing benefits to graduates in knowledge and career outcomes as they will have further study and/or employment options related to both psychology and counselling.","Mental health, disability, employment, government, health, community, general counselling, alcohol and other drugs abuse counselling (with further training), bereavement and loss counselling, family and relationships counselling, welfare, immigration, youth services, human resources, recruitment, market research, training and aged care.",Natural and Physical Sciences,540220,Bachelor of Psychological Science and Counselling,open,3F/EqP/D,DFEE,ACAP,4336-AP,1,"acap,bachelor of psychological science and counselling,psychology,psychological science,counselling,online",0,0,,,,,,,,2022,NO,NA,TBP,NA, ,Y,Y,Y,N,N,N/P,N/P,<5,<5,80,62.99,0,0,0,0,26,20.47,13,10.24,127,100.0,NA,2022,S,
acap,540400,Bachelor of Social Work,"The Bachelor of Social Work gives you deep insight into why we behave the way we do, strategies to help guide people in need and ways to advocate for change. Studying these concepts provides vast and wonderful career opportunities for graduates. You can work in numerous industries from the criminal justice system to health and welfare/wellbeing, mental health, community development, government and non-government agencies, hospitals, schools/education, child safety and many more, on a local, national and international level. We are human rights activists, standing up and addressing injustice in all its forms, giving a voice to the voiceless and supporting the downtrodden in society. We strive to be the change we want to see in the world.",Social work.,"Case manager, carer or general human service worker within health and welfare-related government departments, community services, faith-based organisations, non-government organisations and some industry-related organisations.",Society and Culture,540400,Bachelor of Social Work,open,4F/EqP,DFEE,ACAP,4336-AP,9,"acap,bachelor of social work,social work,welfare,community services",0,0,,,,,,,,2022,NO,NA,TBP,NA, ,Y,Y,Y,N,N,N/P,N/P,<5,<5,39,62.90,0,0,0,0,6,9.68,10,16.13,62,100.0,NA,2022,S,
acap,540404,Diploma of Community Services (Case Management) - CHC52015,"This nationally recognised course provides the skills and knowledge essential to undertake case management in the community services industry. You will use your skills and knowledge to develop relationships with clients, coordinate services for your clients, network with other agencies and services, and support your team in work health and safety and ethical conduct.",Community services.,"Case manager, support worker, care coordinator, support facilitator, residential housing support worker, mental health support worker, aged care/disability support worker, out-of-home care worker.",Society and Culture,540404,Diploma of Community Services (Case Management) - CHC52015,open,1F/EqP,VET,ACAP,4336-AP,9,"acap,diploma of community services (case management),community services,case management,diploma,case manager",0,0,,,,,,,,2022,NO,NA,TXD,NA, ,Y,Y,Y,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NA,2022,S,
acap,540500,Bachelor of Counselling,"This course provides a comprehensive grounding in counselling frameworks and skills, ethical practice and cultural diversity. It provides entry-level counselling training with a strong focus on contemporary counselling and psychology theory, research and practice. You can undertake the International Coach Federation (ICF) accredited units available in this course to focus your studies on coaching.","Counselling, coaching.","Grief and loss counsellor; online and telephone counsellor or mental health support counsellor throughout the public, private, community and not-for-profit sectors. Students completing units in coaching will have gained a solid grounding in the theory and practice of coaching, and be capable of working with a variety of clients and contexts. Upon completion of the course, students are eligible to gain a credential with the International Coach Federation (ICF), a leading global organization dedicated to enhancing the professionalism of coaching.",Society and Culture,540500,Bachelor of Counselling,open,3F/EqP,DFEE,ACAP,4336-AP,9,"acap,bachelor of counselling,counselling,counsellor,psychology theory, placement",0,0,,,,,,,,2022,NO,NA,TBP,NA, ,Y,Y,Y,N,N,11,5.61,<5,<5,159,81.54,0,0,0,0,16,8.21,<5,<5,195,100.0,NA,2022,S,
acap,540510,Undergraduate Certificate in Psychological Science,"This course is the ideal qualification to discover the field of psychology. The 4 unit course covers introductory units in psychology which will build foundational knowledge. On completion of this course, students can continue to higher studies in psychological science, such as the Bachelor of Psychological Science.","This course comprises four core units in psychology, with no electives.","Community, government, non-government and corporate settings focused on mental health, welfare, counselling, health, employment, ageing, disability, immigration and youth services, human resources, training and recruitment, social and market research.",Natural and Physical Sciences,540500,Bachelor of Counselling (Coaching),open,3F/EqP/D,DFEE,ACAP,4336-AP,1,"acap,bachelor of counselling,counselling,counsellor,placement, psychology theory,coaching",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,TBP,NA, ,Y,Y,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,NA,NA,NA
acap,540512,Diploma of Counselling Skills,"This higher education diploma course provides an introduction to the field of counselling with an emphasis on counselling skills, an understanding of the mental health system, and skills required to provide social and health support within the community. The course covers foundational theories of counselling, counselling techniques, organisation’s policies and procedures, and professional ethics. Graduates can take their first step towards a career in counselling, applying skills that suit a range of occupations and settings.",Counselling.,"Entry-level work as case manager, family support worker, personal carer, care coordinator.",Society and Culture,540512,Diploma of Counselling Skills,open,1F/EqP,DFEE,ACAP,4336-AP,9,"acap,diploma of counselling skills,counselling,diploma,counsellor",0,0,,,,,,,,2022,NO,NA,TXD,NA, ,Y,Y,Y,N,N,6,7.06,0,0,68,80.00,0,0,0,0,11,12.94,0,0,85,100.0,NA,2022,F,
acpe,170010,Bachelor of Health and Movement (Pathway to Education),"The study of the human body is a personally rewarding and an increasingly important field in today’s world. Health and movement studies take a practical, hands-on approach. This degree combines courses in health, movement and science – and a major in community health or sport – to help you arrive at a complete, real-world understanding of your field.",Other health.,"Community health advocate, community health worker, community recreation manager, community sports manager, health administrator, health promotion and community development officer, policy analyst, sports administrator, sports development officer, youth health worker.",Health,170010,Bachelor of Health and Movement (Pathway to Education),cancelled,3F/6P,DFEE,ACPE,4352-CPS,6,"69903,acpe,bachelor of health and movement,movement,science,health,bioscience,chemistry,nutrition,biochemistry,anatomy,sports medicine,exercise, health promotion,health awareness,anatomy,physiology,rehabilitation,fitness,dance,community health,sport,wellness,preventative health,skill acquisition,leisure,recreation",0,0,NA,NA,NA,NA,NA,NA,NA,2022,NO,NA,TBP,NA, ,Y,Y,Y,Y,N,0,0.00,<5,<5,0,0,0,0.00,0,0.00,40,98.00,0,0.00,41,100.0,NA,2022,S,NA
acpe,170020,Bachelor of Health Science (Exercise),"The knowledge covered in the Bachelor of Health Science (Exercise) is based on the sciences behind health, physical activity and exercise.","Areas of study: Determinants of health (core) stream: Health promotion principles and the social, psychological and cultural factors influencing general health and wellbeing. Bioscience (core) stream: Structure and function of the human body and an exploration of the concepts of exercise physiology. Exercise (major) stream: Using the science of exercise to optimise health, physical activity and lifestyle management for all people.","Health officer, medical officer, laboratory technician, claims consultant, high performance sport adviser.",Health,170020,Bachelor of Health Science (Exercise),open,3F/6P,DFEE,ACPE,4352-CPS,6,"69903,acpe,bachelor of health science (exercise),movement,science,health,bioscience,chemistry,nutrition,biochemistry,anatomy,sports medicine,exercise,health promotion,health awareness,anatomy,physiology,rehabilitation,fitness,dance,community health,sport",0,0,,,,,,,,2022,NO,NA,TBP,NA, ,Y,Y,Y,Y,N,<5,<5,<5,<5,<5,<5,0,0.00,0,0.00,53,93.00,0,0.00,57,100.0,NA,2022,S,
