course_field,course_code
"Agriculture, Environment and related Studies",215064
"Agriculture, Environment and related Studies",187486
"Agriculture, Environment and related Studies",214024
"Agriculture, Environment and related Studies",160721
"Agriculture, Environment and related Studies",393676
"Agriculture, Environment and related Studies",393677
"Agriculture, Environment and related Studies",215044
"Agriculture, Environment and related Studies",187025
"Agriculture, Environment and related Studies",757627
"Agriculture, Environment and related Studies",757628
"Agriculture, Environment and related Studies",300549
"Agriculture, Environment and related Studies",138201
"Agriculture, Environment and related Studies",138202
"Agriculture, Environment and related Studies",429540
"Agriculture, Environment and related Studies",429560
"Agriculture, Environment and related Studies",590450
"Agriculture, Environment and related Studies",160431
"Agriculture, Environment and related Studies",392687
"Agriculture, Environment and related Studies",392690
"Agriculture, Environment and related Studies",757612
"Agriculture, Environment and related Studies",757618
"Agriculture, Environment and related Studies",482750
"Agriculture, Environment and related Studies",482760
"Agriculture, Environment and related Studies",214340
"Agriculture, Environment and related Studies",214341
"Agriculture, Environment and related Studies",482770
"Agriculture, Environment and related Studies",482780
"Agriculture, Environment and related Studies",283613
"Agriculture, Environment and related Studies",283614
"Agriculture, Environment and related Studies",393605
"Agriculture, Environment and related Studies",393606
"Agriculture, Environment and related Studies",368023
"Agriculture, Environment and related Studies",751294
"Agriculture, Environment and related Studies",513940
"Agriculture, Environment and related Studies",391682
"Agriculture, Environment and related Studies",391683
"Agriculture, Environment and related Studies",751293
"Agriculture, Environment and related Studies",489830
"Agriculture, Environment and related Studies",489829
"Agriculture, Environment and related Studies",187492
"Agriculture, Environment and related Studies",334015
"Agriculture, Environment and related Studies",214044
"Agriculture, Environment and related Studies",214070
"Agriculture, Environment and related Studies",214071
"Agriculture, Environment and related Studies",593090
Architecture and Building,160221
Architecture and Building,160241
Architecture and Building,283422
Architecture and Building,722547
Architecture and Building,423000
Architecture and Building,513100
Architecture and Building,361125
Architecture and Building,160231
Architecture and Building,722516
Architecture and Building,160251
Architecture and Building,423600
Architecture and Building,423100
Architecture and Building,423200
Architecture and Building,482450
Architecture and Building,482460
Architecture and Building,283445
Architecture and Building,160581
Architecture and Building,720133
Architecture and Building,720134
Architecture and Building,602025
Architecture and Building,609195
Architecture and Building,722519
Architecture and Building,482500
Architecture and Building,513115
Architecture and Building,602010
Architecture and Building,513120
Architecture and Building,609535
Architecture and Building,609556
Architecture and Building,602060
Architecture and Building,609550
Architecture and Building,609280
Architecture and Building,423300
Architecture and Building,423400
Architecture and Building,551050
Architecture and Building,551060
Architecture and Building,423500
Architecture and Building,602020
Architecture and Building,363129
Architecture and Building,300141
Architecture and Building,187480
Architecture and Building,727628
Architecture and Building,727630
Architecture and Building,513610
Architecture and Building,482705
Architecture and Building,482706
Architecture and Building,363004
Architecture and Building,363005
Architecture and Building,391647
Architecture and Building,391648
Architecture and Building,283421
Architecture and Building,283429
Architecture and Building,729615
Architecture and Building,729412
Architecture and Building,489834
Architecture and Building,729630
Architecture and Building,729435
Architecture and Building,551120
Architecture and Building,489987
Architecture and Building,489989
Architecture and Building,593100
Creative Arts,630120
Creative Arts,630150
Creative Arts,630155
Creative Arts,160911
Creative Arts,630190
Creative Arts,630195
Creative Arts,630125
Creative Arts,630170
Creative Arts,630175
Creative Arts,630320
Creative Arts,630325
Creative Arts,551020
Creative Arts,630010
Creative Arts,630015
Creative Arts,600035
Creative Arts,609526
Creative Arts,609347
Creative Arts,333110
Creative Arts,590620
Creative Arts,590630
Creative Arts,590680
Creative Arts,590684
Creative Arts,590640
Creative Arts,362004
Creative Arts,362006
Creative Arts,362007
Creative Arts,590650
Creative Arts,590690
Creative Arts,590694
Creative Arts,590670
Creative Arts,590674
Creative Arts,590660
Creative Arts,513215
Creative Arts,363286
